epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.35096,0.73855,0.43243,1,0.76408,0.0001667,0.0001667,0.0001667
2,13.2794,0.57547,0.72973,1,0.61507,0.000332742,0.000332742,0.000332742
3,19.022,0.48213,0.7027,1,0.53394,0.000480629,0.000480629,0.000480629
4,24.4782,0.40524,0.78378,1,0.47899,0.000610364,0.000610364,0.000610364
5,29.6356,0.32506,0.72973,1,0.40498,0.000721944,0.000721944,0.000721944
6,34.9194,0.21748,0.72973,1,0.57769,0.000815371,0.000815371,0.000815371
7,40.2232,0.17639,0.78378,1,0.28209,0.000890645,0.000890645,0.000890645
8,45.5191,0.19284,0.75676,1,1.23208,0.000947765,0.000947765,0.000947765
9,50.6634,0.20378,0.72973,1,0.57978,0.000986731,0.000986731,0.000986731
10,55.7579,0.1562,0.7027,1,0.76717,0.000924352,0.000924352,0.000924352
11,60.9122,0.182,0.75676,1,0.44255,0.000841835,0.000841835,0.000841835
12,65.9954,0.11776,0.78378,1,0.34409,0.000759318,0.000759318,0.000759318
13,71.0176,0.10975,0.83784,1,0.25852,0.000676802,0.000676802,0.000676802
14,76.4878,0.14302,0.83784,1,0.22886,0.000594286,0.000594286,0.000594286
15,81.702,0.17009,0.75676,1,0.32847,0.000511769,0.000511769,0.000511769
16,87.0245,0.09036,0.78378,1,0.90167,0.000429253,0.000429253,0.000429253
17,92.1883,0.11187,0.75676,1,0.42645,0.000346736,0.000346736,0.000346736
18,97.3268,0.098,0.78378,1,0.54718,0.00026422,0.00026422,0.00026422
19,102.508,0.13263,0.78378,1,0.42888,0.000181703,0.000181703,0.000181703
20,107.59,0.10588,0.78378,1,0.53215,9.91865e-05,9.91865e-05,9.91865e-05
